Time,Position+AF8-x,Position+AF8-y,Metrics
3.6046321392,1,0,0
5.6321949959,2,0,0
7.6200499535,3,0,0
9.6385030746,4,0,0
11.6627929211,5,0,0
13.6488540173,6,0,0
14.6181440353,6,+AC0-1,0
15.647151947,7,+AC0-1,0
18.6911349297,8,+AC0-1,0
20.6976420879,9,+AC0-1,0
21.6912329197,9,+AC0-2,0
22.6705989838,10,+AC0-2,0
24.6786580086,11,+AC0-2,0
26.6893610954,12,+AC0-2,0
27.7224550247,12,+AC0-3,0
28.7297210693,13,+AC0-3,0
30.7197849751,14,+AC0-3,0
32.740170002,14,+AC0-4,0
33.7827320099,15,+AC0-4,0
58.9519360065,15,+AC0-3,0
60.9566371441,15,+AC0-2,0
62.979362011,15,+AC0-1,0
64.979195118,15,0,0
69.0058119297,15,1,0
71.0203020573,15,2,0
72.9578740597,15,3,0
75.0040290356,15,4,0
78.0030200481,15,5,0
80.9993419647,15,6,0
84.0177919865,15,7,0
87.0512170792,15,8,0
89.0228629112,15,9,0
92.0434091091,15,10,0
94.0671570301,15,11,0
96.0635809898,15,12,0
98.0516400337,14,12,0
99.0510311127,14,13,0
101.0619039536,14,14,0
103.0402760506,14,15,0
105.0626299381,14,16,0
108.0829250813,14,17,0
110.0565950871,14,18,0
113.0891969204,14,19,0
115.100880146,14,20,0
117.0824539661,14,21,0
119.1107361317,14,22,0
122.0974879265,14,23,0
125.1203770638,14,24,0.00078284
127.1209950447,14,25,0.0012447
129.1040711403,14,26,0.0019361
132.1322360039,14,27,0.0029460001
135.1384470463,13,28,0.0127609996
137.122592926,13,29,0.0183390006
139.1388881207,13,30,0.0257820003
141.1438801289,13,31,0.0354579985
143.1515641212,13,32,0.0477060005
145.1397719383,13,33,0.0627890006
147.1536030769,13,34,0.0808449984
151.1759269238,13,35,0.1018299982
154.1863319874,13,36,0.1254699975
156.1783659458,13,37,0.1512500048
158.1585049629,13,38,0.1783500016
161.1916811466,13,39,0.2057400048
163.1824231148,13,40,0.2321700007
164.2177970409,12,40,0.5281900167
166.1821141243,12,41,0.5754600167
168.2297339439,12,42,0.6133300066
187.2495689392,11,42,1.2446000576
191.2327690125,10,42,2.3131999969
194.318723917,9,42,3.9372999668
197.286618948,8,42,6.1377000809
200.2718799114,7,42,8.7625999451
203.2586359978,6,42,11.4569997787
205.2777559757,5,42,13.720000267
207.3049089909,4,42,15.0469999313
209.273266077,3,42,15.1129999161
212.3208360672,2,42,13.9020004272
215.3735420704,1,42,11.7119998932
218.3991501331,0,42,9.0363998413
223.4037139416,+AC0-1,42,6.3853998184
226.4021990299,+AC0-2,42,4.1322999001
229.389605999,+AC0-3,42,2.4491999149
232.4432759285,+AC0-4,42,1.3294999599
235.3939840794,+AC0-5,42,0.6609200239
237.4220120907,+AC0-6,42,0.300909996
240.4450080395,+AC0-7,42,0.1254699975
243.4345579147,+AC0-8,42,0.0479159988
246.423322916,+AC0-9,42,0.0167590007
248.4427120686,+AC0-10,42,0.0053678998
251.4513790607,+AC0-11,42,0.0015747
254.5038261414,+AC0-12,42,0.00042307
257.4631850719,+AC0-13,42,0
260.473484993,+AC0-14,42,0
263.4679310322,+AC0-15,42,0
281.5313429832,+AC0-15,41,0
284.5409519672,+AC0-15,40,0
287.5314221382,+AC0-15,39,0
289.5484099388,+AC0-15,38,0
292.5782830715,+AC0-15,37,0
294.5447700024,+AC0-15,36,0
297.5880429745,+AC0-15,35,0
299.5726850033,+AC0-15,34,0
301.5766029358,+AC0-15,33,0
303.5653419495,+AC0-15,32,0
306.5608699322,+AC0-15,31,0
307.6126260757,+AC0-14,31,0
